bgg_id,boardgame_name,year_published,min_players,max_players,play_time,min_age,users_rated,rating_average,bgg_rank,complexity_average,owned_users
41916.0,The Magic Labyrinth,2009.0,2,4,30,6,4874,6.83,1056,1.24,8593.0
184424.0,Mega Civilization,2015.0,5,18,720,12,946,8.25,1057,3.69,1268.0
223855.0,Sentient,2017.0,2,4,60,12,2019,7.23,1058,2.19,2683.0
251412.0,On Tour,2019.0,1,4,20,7,2691,7.08,1059,1.47,4410.0
85256.0,Timeline: Inventions,2010.0,2,8,15,8,7257,6.71,1060,1.11,12448.0
105037.0,Tournay,2011.0,2,4,60,12,2933,7.0,1061,2.9,4222.0
103.0,Titan,1980.0,2,6,240,12,3863,6.96,1062,3.46,5536.0
165986.0,Royals,2014.0,2,5,60,10,2304,7.15,1063,2.23,3185.0
276894.0,Ticket to Ride: London,2019.0,2,4,15,8,2067,7.24,1064,1.2,5407.0
9203.0,Wings of War: Famous Aces,2004.0,2,4,30,10,4616,6.86,1065,1.74,5671.0
180040.0,Villages of Valeria,2017.0,1,5,60,14,2767,7.07,1066,2.36,5284.0
283864.0,Trails of Tucana,2019.0,1,8,15,8,1504,7.48,1067,1.34,2541.0
159109.0,XenoShyft: Onslaught,2015.0,1,4,60,13,3336,6.96,1068,2.66,5697.0
15126.0,Advanced Squad Leader: Starter Kit #2,2005.0,2,2,180,12,1147,7.93,1069,3.79,3043.0
218074.0,Detective: City of Angels,2019.0,1,5,150,14,1031,8.0,1070,2.39,2789.0
228660.0,Betrayal at Baldur's Gate,2017.0,3,6,60,12,2797,7.15,1071,2.55,6759.0
272739.0,Clinic: Deluxe Edition,2020.0,1,4,150,14,1125,7.88,1072,4.12,3671.0
216091.0,Unlock!: Escape Adventures - The Formula,2017.0,1,6,75,10,2508,7.06,1073,2.32,3803.0
274638.0,Unmatched: Robin Hood vs. Bigfoot,2019.0,2,2,20,9,924,8.24,1074,1.93,2665.0
270971.0,Era: Medieval Age,2019.0,1,4,60,8,1968,7.27,1075,2.27,3422.0
9220.0,Saboteur,2004.0,3,10,30,8,25688,6.58,1076,1.33,40848.0
219100.0,UBOOT: The Board Game,2019.0,1,4,120,12,1555,7.78,1077,4.08,4484.0
272453.0,KeyForge: Age of Ascension,2019.0,2,2,45,14,1689,7.45,1078,2.8,4410.0
267319.0,Roam,2019.0,2,4,45,8,1512,7.48,1079,1.92,3279.0
2338.0,Starship Catan,2001.0,2,2,60,12,4293,6.84,1080,2.47,6905.0
21441.0,Mykerinos,2006.0,2,4,60,10,3860,6.85,1081,2.56,3937.0
826.0,Cartagena,2000.0,2,5,45,8,7482,6.68,1082,1.61,8438.0
106.0,Mystery Rummy: Jack the Ripper,1998.0,2,4,45,10,3317,6.94,1083,1.75,5678.0
300531.0,Paleo,2020.0,1,4,60,10,1094,8.02,1084,2.59,2459.0
159503.0,The Captain Is Dead,2014.0,2,7,90,14,2435,7.16,1085,2.37,4484.0
284818.0,Caylus 1303,2019.0,2,5,90,12,1318,7.63,1086,2.91,2614.0
261114.0,Men at Work,2019.0,2,5,45,8,1858,7.32,1087,1.07,3080.0
117985.0,Star Trek: Catan,2012.0,3,4,75,10,3257,7.0,1088,2.37,8359.0
192074.0,Odin's Ravens (Second Edition),2016.0,2,2,30,10,2673,7.07,1089,1.21,4988.0
163413.0,Murano,2014.0,2,4,75,10,1898,7.24,1090,2.72,2403.0
205716.0,New Angeles,2016.0,4,6,240,14,2508,7.13,1091,3.26,4583.0
150312.0,Welcome to the Dungeon,2013.0,2,4,30,10,11728,6.6,1092,1.23,20598.0
215841.0,Exit: The Game - The Forgotten Island,2017.0,1,4,90,12,2736,7.02,1093,2.7,5438.0
39684.0,Merkator,2010.0,1,4,90,12,2535,7.04,1094,2.96,3251.0
149155.0,Dead Man's Draw,2015.0,2,4,15,13,4464,6.85,1095,1.35,7517.0
179460.0,Stronghold: 2nd edition,2015.0,2,2,90,10,1448,7.52,1096,3.76,3311.0
172385.0,Porta Nigra,2015.0,2,4,120,12,1977,7.21,1097,2.99,3870.0
10640.0,Doom: The Boardgame,2004.0,2,4,180,12,5038,6.86,1098,2.91,6768.0
72991.0,Asara,2010.0,2,4,45,9,2651,7.02,1099,2.35,3627.0
134453.0,The Little Prince: Make Me a Planet,2013.0,2,5,25,8,3463,6.91,1100,1.59,4425.0
1897.0,The Starfarers of Catan,1999.0,3,4,120,12,5036,6.81,1101,2.58,7183.0
166226.0,The Staufer Dynasty,2014.0,2,5,90,13,2104,7.15,1102,2.99,3179.0
183006.0,Qwinto,2015.0,2,6,15,8,2495,7.06,1103,1.37,4293.0
33604.0,Say Anything,2008.0,3,8,30,13,5596,6.74,1104,1.09,9277.0
83195.0,Ghost Blitz,2010.0,2,8,20,8,6882,6.71,1105,1.15,10519.0
127024.0,Room 25,2013.0,1,6,30,13,5854,6.74,1106,1.93,7406.0
256589.0,Rallyman: GT,2020.0,1,6,60,14,1910,7.4,1107,2.21,2690.0
2842.0,TransAmerica,2001.0,2,6,30,13,7696,6.67,1108,1.35,7548.0
226518.0,Exit: The Game - The Sunken Treasure,2017.0,1,4,90,10,2258,7.12,1109,1.84,4385.0
303057.0,Pan Am,2020.0,2,4,60,12,1183,7.79,1110,2.56,3427.0
241266.0,Little Town,2017.0,2,4,60,10,1875,7.29,1111,2.04,3444.0
15.0,Cosmic Encounter,1977.0,2,6,90,12,3858,6.91,1112,2.37,4281.0
63268.0,Spot it!,2009.0,2,8,15,7,12891,6.63,1113,1.03,24326.0
238638.0,Castell,2018.0,2,4,90,12,1414,7.5,1114,3.23,1982.0
7805.0,Fearsome Floors,2003.0,2,7,60,10,7548,6.66,1115,1.83,8068.0
271869.0,Sushi Roll,2019.0,2,5,20,8,2141,7.16,1116,1.24,4829.0
29934.0,Amyitis,2007.0,2,4,120,12,2942,6.94,1117,3.22,3647.0
206803.0,Warsaw: City of Ruins,2016.0,2,4,60,10,1649,7.35,1118,2.26,2270.0
142992.0,Gravwell: Escape from the 9th Dimension,2013.0,1,4,35,12,3305,6.91,1119,1.74,4575.0
878.0,Wyatt Earp,2001.0,2,4,45,8,3892,6.84,1120,1.84,5357.0
37919.0,Ascending Empires,2011.0,2,4,75,10,1999,7.18,1121,2.35,1834.0
159504.0,Folklore: The Affliction,2017.0,1,5,120,14,1469,7.84,1122,3.67,3918.0
318977.0,MicroMacro: Crime City,2020.0,1,4,45,10,968,8.01,1123,1.12,2520.0
75165.0,De Vulgari Eloquentia,2010.0,2,5,120,14,1872,7.23,1124,3.63,2965.0
212516.0,Keyper,2017.0,2,4,120,14,1627,7.34,1125,3.55,3093.0
175223.0,Valley of the Kings: Afterlife,2015.0,1,4,45,14,1752,7.29,1126,2.29,3686.0
394.0,Kahuna,1998.0,2,2,40,10,8425,6.63,1127,2.06,11921.0
239472.0,Abomination: The Heir of Frankenstein,2019.0,2,4,180,13,1431,7.56,1128,3.29,3003.0
215842.0,Exit: The Game - The Polar Station,2017.0,1,4,90,12,2848,6.95,1129,2.78,5553.0
22038.0,Warrior Knights,2006.0,2,6,240,12,3830,6.86,1130,3.52,5604.0
273477.0,Obscurio,2019.0,2,8,40,10,1804,7.27,1131,1.91,3678.0
179572.0,Dice City,2015.0,1,4,60,14,4556,6.77,1132,2.03,7772.0
243759.0,Hellboy: The Board Game,2019.0,1,4,90,14,1257,8.02,1133,2.9,3645.0
217085.0,Unearth,2017.0,2,4,60,8,3727,6.9,1134,1.97,7130.0
120523.0,Nothing Personal,2013.0,3,5,120,8,2244,7.08,1135,2.78,3286.0
176229.0,Tides of Time,2015.0,2,2,20,8,6690,6.66,1136,1.58,10537.0
129051.0,Le Havre: The Inland Port,2012.0,2,2,30,10,3355,6.85,1137,2.5,5352.0
902.0,Meuterer,2000.0,3,4,60,12,3224,6.89,1138,2.32,5557.0
232988.0,The Castles of Burgundy: The Dice Game,2017.0,1,5,30,10,2985,6.93,1139,1.82,5804.0
196202.0,Rum & Bones: Second Tide,2017.0,2,6,60,14,1257,7.7,1140,2.83,3218.0
213266.0,Circle the Wagons,2017.0,2,2,15,8,1942,7.19,1141,1.71,4335.0
66.0,Löwenherz,1997.0,2,4,90,12,2425,7.03,1142,2.93,3467.0
142852.0,DC Comics Deck-Building Game: Heroes Unite,2014.0,2,5,45,15,1705,7.39,1143,2.1,4002.0
109125.0,Wallenstein (Second Edition),2012.0,3,5,120,12,1226,7.61,1144,3.23,1815.0
5716.0,Balloon Cup,2003.0,2,2,30,8,5752,6.69,1145,1.46,6007.0
19999.0,Aton,2005.0,2,2,30,8,3355,6.86,1146,2.11,4351.0
1231.0,Bausack,1987.0,2,8,45,7,3867,6.82,1147,1.3,4708.0
256788.0,Detective Club,2018.0,4,8,45,8,1555,7.42,1148,1.22,2790.0
3284.0,Star Wars: Epic Duels,2002.0,2,6,30,8,3108,7.0,1149,1.78,4145.0
492.0,Aladdin's Dragons,2000.0,3,5,90,10,3098,6.91,1150,2.47,3873.0
113401.0,Timeline: Events,2011.0,2,8,15,8,4208,6.78,1151,1.1,7924.0
139030.0,Mascarade,2013.0,2,13,30,10,9222,6.62,1152,1.53,14216.0
256606.0,Spirits of the Wild,2018.0,2,2,30,10,1596,7.39,1153,1.29,3596.0
169794.0,Haspelknecht,2015.0,2,4,90,12,1706,7.27,1154,3.03,3022.0
167513.0,Barony,2015.0,2,4,45,14,2344,7.12,1155,2.24,3149.0
199.0,Manhattan,1994.0,2,4,45,10,4940,6.72,1156,1.92,6714.0
16496.0,Roma,2005.0,2,2,45,8,4459,6.77,1157,2.01,5425.0
191597.0,Dale of Merchants 2,2016.0,2,4,30,10,1621,7.34,1158,2.06,4079.0
19237.0,Ca$h 'n Gun$,2005.0,4,6,30,10,9770,6.58,1159,1.27,8788.0
224821.0,One Deck Dungeon: Forest of Shadows,2017.0,1,2,45,14,1972,7.23,1160,2.36,6733.0
